company_name,no_of_students_placed
capgemini,25
Persistent,25
L&T Infotech,24
yardi,23
Bombardier,12
Tcs,11
Quantiphi,10
SAP Labs,9
Syntel,8
Amazon,8
Bitwise,7
TIAA,7
Barclays,7
Credit Suisse,7
 LTI,6
Cognizant,6
Sagitec,6
Value Labs,6
Infosys,6
Xoriant,4
Wipro,4
Schlumberger,4
Ubisoft,4
Mediaocean,4
Borm Bruckmeier,3
Arxxus,3
Samsung R&D,3
Raja Software,3
Angular Minds,2
Fiserv,2
Hexaware,2
IBM,2
Neeyamo,1
Zensar,1
Enzigma,1
Mphasis,1
Tech Mahindra,1
Brainstorm,1
E-Zest,1
Uno Minda,1
Virtusa,1
Grid Logic,1
Jaro Education,1
HSBC,1
